,Full Design,NFE,TargetRatioObjective,StiffnessObjective,FeasibilityScore,StabilityScore
2165,1.01E+35,106,0.151050565,-0.540512782,0.4,0.9
2168,1.01E+35,515,0.033657572,-0.573643281,0.8,1
2170,1.00E+25,0,0.1998,-1.46E-05,0.6,0.5
2182,1.10E+34,0,0.1998,-1.65E-05,0.6,0.5
2193,1.01E+35,313,0.056081196,-0.583297447,0.4,1
2198,1.01E+35,453,0.058822153,-0.600087654,0.6,1
2214,1.01E+35,291,0.032813309,-0.531305709,0.8,1
2216,1.01E+35,122,0.072644759,-0.502357389,0.6,0.9
2221,1.00E+29,0,0.1998,-1.86E-05,0.8,0.6
2226,1.11E+35,1126,0,-0.542986425,0.4,0.6
2227,1.00E+15,0,0.1998,-2.07E-05,0.6,0.3
2229,1.00E+35,0,0.1998,-1.13E-05,0.4,0.7
2234,1.01E+35,377,0.090665499,-0.623002637,0.6,1
2253,1.00E+27,161,0.1998,-3.00E-05,1,1.11E-16
2263,1.00E+34,0,0.1998,-1.06E-05,0.4,0.7
2265,1.01E+23,0,0.1998,-1.94E-05,0.6,0.6
2266,1.00E+19,0,0.1998,-6.20E-05,1,1.11E-16
2267,1.00E+26,0,0.1998,-2.12E-05,1,0.5
2270,1.00E+32,0,0.1998,-1.65E-05,1,0.8
2275,1.10E+34,0,0.1998,-1.46E-05,0.8,0.6
2277,1.01E+35,287,0.028332457,-0.40950414,0.6,1
2278,1.00E+33,0,0.1998,-2.50E-05,0.6,1.11E-16
2280,1.01E+35,350,0.057070574,-0.592028882,0.4,1
2282,1.01E+31,0,0.1998,-1.21E-05,0.4,0.9
2284,1.00E+35,0,0.1998,-1.33E-05,0.6,0.5
2291,1.01E+35,272,0.001720803,-0.47866402,0.4,1
2292,1.00E+35,0,0.1998,-1.49E-05,0.8,0.7
2301,1.01E+35,1194,0,-0.542986425,0.4,0.6
2305,1.00E+35,0,0.1998,-2.50E-05,0.8,0.1
2311,1.10E+33,0,0.1998,-1.22E-05,0.4,0.4
2312,1.01E+35,0,0.164826674,-0.379064395,0.6,0.5
2314,1.01E+35,0,0.1998,-1.22E-05,0.4,0.9
2315,1.00E+30,0,0.1998,-1.70E-05,0.8,0.2
2317,1.00E+31,0,0.1998,-2.05E-05,0.8,0.6
2318,1.00E+31,0,0.1998,-4.10E-05,1,1.11E-16
2320,1.00E+35,0,0.1998,-1.16E-05,0.8,0.7
2323,1.00E+35,0,0.1998,-1.43E-05,0.8,0.4
2326,1.11E+35,0,0.06059794,-0.495996594,0.4,0.9
2327,1.10E+25,0,0.1998,-2.12E-05,1,0.6
2328,1.00E+35,0,0.1998,-2.65E-05,1,0.3
2329,1.00E+35,0,0.1998,-1.90E-05,0.8,0.5
2330,1.10E+35,149,0.1998,-1.65E-05,0.6,0.3
2336,1.01E+29,0,0.1998,-2.31E-05,0.8,0.5
2345,1.00E+24,0,0.1998,-1.77E-05,0.4,0.4
2347,1.00E+35,0,0.1998,-1.33E-05,0.6,0.7
2349,1.00E+32,0,0.1998,-1.51E-05,0.4,0.5
2350,1.00E+35,0,0.6,-0.037507722,0.4,0.9
2360,1.10E+23,0,0.1998,-2.12E-05,0.6,0.5
2361,1.00E+33,0,0.1998,-2.65E-05,1,1.11E-16
2367,1.01E+33,0,0.1998,-1.30E-05,0.4,0.8
2383,1.00E+33,0,0.15,-0.150030889,0.6,0.7
2392,1.01E+31,0,0.1998,-1.58E-05,0.6,0.5
2396,1.00E+28,0,0.1998,-2.47E-05,0.8,0.4
2397,1.00E+33,0,0.937225418,-0.075185566,0.6,0.5
2407,1.00E+33,0,0.1998,-2.50E-05,0.6,1.11E-16
2418,1.00E+34,0,0.1998,-1.41E-05,0.4,0.5
2422,1.00E+23,103,0.1998,-2.96E-05,1,0.4
2428,1.00E+33,0,0.1998,-2.65E-05,1,0.1
2429,1.00E+33,0,0.1998,-2.14E-05,1,1.11E-16
2436,1.00E+30,0,0.1998,-3.74E-05,0.8,1.11E-16
2441,1.00E+16,0,0.1998,-2.31E-05,0.6,0.4
2446,1.01E+35,1375,0.1,-0.701626276,0.4,0.5
2457,1.00E+32,0,0.1998,-1.30E-05,0.6,0.5
2459,1.00E+30,0,0.1998,-3.54E-05,1,0.1
2463,1.00E+32,0,0.1998,-2.12E-05,0.8,0.3
2466,1.00E+30,0,0.104508497,-0.136754481,0.8,0.7
2475,1.00E+16,0,0.1998,-4.10E-05,0.8,0.1
2476,1.00E+33,0,0.1998,-1.77E-05,0.8,0.2
2481,1.00E+21,0,0.1998,-2.96E-05,0.6,0.1
2483,1.00E+33,0,0.1998,-1.73E-05,1,0.4
2484,1.10E+34,119,0.196685187,-0.230715769,0.4,0.7
2487,1.00E+29,0,0.1998,-2.47E-05,0.8,0.2
2492,101100000,0,0.1998,-2.96E-05,0.8,0.3
2498,1.00E+35,0,0.1998,-1.26E-05,0.6,0.7
2502,1.00E+30,0,0.1998,-1.96E-05,1,0.4
2504,1.00E+28,0,0.1998,-2.57E-05,0.8,0.4
2506,1.01E+34,0,0.087167726,-0.283856157,0.4,0.3
2535,1.00E+15,0,0.1998,-7.49E-05,1,1.11E-16
2550,1.10E+35,0,0.1998,-1.73E-05,0.4,0.3
2565,1.10E+27,0,0.1998,-1.19E-05,0.4,0.6
2576,1.00E+17,105,0.1998,-5.30E-05,1,1.11E-16
2604,1.01E+31,0,0.1998,-1.48E-05,0.6,0.5
2629,1.00E+35,0,0.1998,-1.44E-05,0.8,0.8
2651,1.00E+21,0,0.1998,-2.25E-05,0.4,0.2
2665,1.10E+32,0,0.170586215,-0.106840508,0.4,1
2667,1.00E+26,0,0.1998,-1.07E-05,0.6,0.7
2668,1.00E+29,104,0.1998,-2.86E-05,1,1.11E-16
2688,1.00E+32,776,4.00E-16,-0.084089444,0.8,0.5
2736,1.00E+29,0,0.1998,-1.86E-05,0.6,0.2
2750,1.00E+34,0,0.1998,-1.87E-05,0.8,0.1
